â,آ
bostân,بوستان
bû,بو
bu'd,بعد
bûd,بود
bu'diyet,بعدیت
buğrâ,بغرا
buhalâ,بخلا
buhâr,بخار
buhl,بخل
buhrân,بحران
buht,بهت
buhûr,بخور
buhurdan,بخوردان
buk'a,بقعه
buk'avî,بقعوی
bûm,بوم
bûm,بوم
bûmehen,بومهن
bûr,بور
burc,برج
burhan,برهان
bûriya,بوریا
burûc,بروج
burûdet,برودت
bûs,بوس
bûse,بوسه
bûstân,بوستان
bûte,بوته
bûtimar,بوتيمار
butlân,بطلان
butûn,بطون
bûy,بوی
bûydâr,بویدار
bûzîne,بوزینه
bühtân,بهتان
bükâ,بكاء
bülaceb,بوالعجب
büldân,بلدان
büleğâ,بلغاء
bülend,بلند
bülendbâlâ,بلندبالا
bülendpervâz,بلندپرواز
bülheves,بوالهوس
bülûğ,بلوغ
bün,بن
bünyâd,بنياد
bünye,بنيه
bünyeviyat,بنيویات
bürdbâr,بردبار
bürde,برده
bürhân,برهان
bürîde,بریده
bürka,برقع
bürnâ,برنا
bürrân,بران
bürûdet,برودت
bürûz,بروز
büstân,بستان
büşrâ,بشرا
büt,بت
büthâne,بت خانه
bütperest,بت پرست
bütûn,بطون
büyût,بيوت
büz,بز
büzdil,بزدل
büzûr,بذور
büzürg,بزرگ
büzürgân,بزرگان
büzürgzâde,بزرگ زاده
câ,جا
câbecâ,جابجا
câbir,جابر
câdde,جاده
câdû,جادو
câdûger,جادوگر
câh,جاه
câhid,جاهد
câhil,جاهل
câhilâne,جاهلانه
câiz,جائز
câize,جائزه
ca'l,جعل
ca'lî,جعلى
câlib,جالب
câlib-i dikkat,جالب دقت
câm,جام
câme,جامه
câmedân,جامه دان
câmegî,جامگى
câmekan,جامكان
câmekan,جامكان
câmeşûy,جامه شوی
câmi',جامع
câmia,جامعه
câmid,جامد
câmûs,جاموس
cân,جان
cânâ,جانا
cânân,جانان
cânâne,جانانه
cânbâz,جانباز
cândâr,جاندار
canefşân,جان افشان
cânefzâ,جان افزا
cânfersâ,جان فرسا
cânfeşân,جان فشان
cânfezâ,جان فزا
cângüdâz,جان گداز
canhıraş,جان خراش
cânib,جانب
cânişin,جانشين
cânnisâr,جان نثار
cânsipâr,جان سپار
cânsiperâne,جان سپرانه
cânsitân,جان ستان
cânver,جان ور
câr,جار
cârî,جارِ
câriha,جارحه
câriye,جاریه
cârû,جارو
cârûb,جاروب
câsûsî,جاسوسى
câvid,جاود
câvidân,جاودان
cây,جای
câygâh,جایگاه
câyi',جایع
câynişîn,جاینشين
câzib,جاذب
câzibe,جاذبه
cazibedar,جاذبه دار
câzibiyyet,جاذبيت
cebâbire,جبابره
cebânet,جبانت
cebbâr,جبار
cebbârî,جباری
cebel,جبل
cebhe,جبهه
cebîn,جبين
cebr,جبر
cebren,جبرا
cebrî,جبری
cedâvil,جداول
cedd,جد
cedel,جدل
cedelî,جدلى
cedî,جدی
cedîd,جدید
cedîde,جدیده
cedvel,جدول
cefâ,جفا
cefâcû,جفاجو
cefâdîde,جفادیده
cefâkâr,جفاكار
cefâkârî,جفاكاری
cefâkeş,جفاكش
cefâpîşe,جفاپيشه
cefcâf,جفجاف
ceffelkalem,جف القلم
cefr,جفر
cehâlet,جهالت
cehd,جهد
cehele,جهله
cehennemî,جهنمى
cehl,جهل
cehren,جهرا
celâdet,جلادت
celâl,جلال
celb,جلب
celbnâme,جلب نامه
celeb,جلب
celesât,جلسات
celîl,جليل
celîs,جليس
cellâd,جلاد
cellâdî,جلادی
celse,جلسه
cem',جمع
cemâat,جماعت
cemâd,جماد
cemâdât,جمادات
cemâhîr,جماهير
cemâl,جمال
cem'an,جمعا
cemel,جمل
cemî',جميع
cemî'an,جميعا
cemil,جميل
cemîle,جميله
cemiyet,جمعيت
cem'iyyât,جمعيات
cem'iyyet,جمعيت
cem'iyyet-i akvâm,جمعيت اقوام
cemm,جم
cenâb,جناب
cenâbet,جنابت
cenâh,جناح
cenb,جنب
cendere,جندره
ceng,جنگ
cengâver,جنگاور
cengâverî,جنگاوری
cengcû,جنگجو
cengel,جنگل
cennât,جنات
cennet,جنت
cennet-i a'lâ,جنت اعلى
cennetmekân,جنت مكان
cenûb,جنوب
cenûbî,جنوبى
cenûb-i garb,جنوب غرب
cenûb-i garbî,جنوب غربى
cenûb-i şark,جنوب شرق
cenûb-i şarkî,جنوب شرقى
cerâd,جراد
cerâhat,جراحت
cerâid,جرائد
cerâim,جرائم
cerbeze,جربزه
ceres,جرس
cereyân,جریان
cerge,جرگه
cerh,جرح
cerîde,جریده
cerîha,جریحه
cerîme,جریمه
cerrâh,جراح
cerrâhî,جراحى
cesâmet,جسامت
cesâret,جسارت
cesîm,جسيم
cesîmülcüsse,جسيم الجثه
cesûr,جسور
cev,جو
cevâb,جواب
cevâben,جوابا
cevâd,جواد
cevâhir,جواهر
cevâmi',جوامع
cevâmid,جوامد
cevâmîs,جواميس
cevân,جوان
cevânib,جوانب
cevârî,جواری
cevâz,جواز
cevdet,جودت
cevelân,جولان
cevelângâh,جولانگاه
cevf,جوف
cevher,جوهر
cevherfürûş,جوهرفروش
cevherî,جوهری
cevîn,جوین
cevir,جور
cevr,جور
cevşen,جوشن
cevv,جو
cevvâl,جوال
cevvî,جوی
cevzâ,جوزاء
ceyb,جيب
ceyş,جيس
ceyyid,جيد
cezâ,جزاء
cezâir,جزائر
cezâlet,جزالت
cezb,جذب
cezbe,جذبه
cezer,جزر
cezîre,جزیره
cezm,جزم
cezzâb,جذاب
cibâl,جبال
cibillet,جبلت
cibilliyet,جبليت
cibilliyetsiz,جبلتسز
cidâl,جدال
cidâlcû,جدال جو
cidâr,جدار
cidden,جدا
ciddî,جدی
ciddiyyet,جدیت
cîfe,جيفه
ciger,جگر
cigergûşe,جگرگوشه
cigerpâre,جگرپاره
cigersûz,جگرسوز
cihâd,جهاد
cihân,جهان
cihânâferîn,جهان آفرین
cihandar,جهاندار
cihandîde,جخان دیده
cihangîr,جهانگير
cihangîrî,جهانگيری
cihângüşâ,جهانگشا
cihânî,جهانى
cihannüma,جهان نما
cihâr,چهار
cihâren,جهارا
cihât,جهات
cihâz,جهاز
cihet,جهت
cilâ,جلاء
cilâdar,جلادار
cild,جلد
cilve,جلوه
cilvegâh,جلوه گاه
cilveger,جلوه گر
cilvesâz,جلوه ساز
cimâ',جماع
cinâ'î,جنائى
cinân,جنان
cinayetkâr,جنایتكار
cinâze,جنازه
cindar,جندار
cinnet,جنت
cins,جنس
cinsî,جنسى
cirm,جرم
cism,جسم
cismânî,جسمانى
cismen,جسما
cisr,جسر
civan,جوان
civânân,جوانان
civanbaht,جوان بخت
civânî,جوانى
civânmerd,جوانمرد
civâr,جوار
cîve,جيوه
cizye,جزیه
cû,جو
cû,جو
cû',جوش
cûce,جوجه
cûd,جود
cuğd,جغد
cûlâh,جولاه
cum'a,جمعه
cumhûr,جمهور
cumhûrî,جمهوری
cumhûriyyet,جمهوریت
cûş,جوش
cûşâcûş,جوشاجوش
cûşân,جوشان
cûşiş,جوشش
cûy,جوی
cûy,جوی
cûybâr,جویبار
cûyende,جوینده
cübn,جبن
cüdâ,جدا
cüdâyî,جدایى
cüdrân,جدران
cüft,جفت
cüfte,جفته
cühelâ,جهلاء
cühhâl,جهال
cüllâh,جلاه
cülûs,جلوس
cülûsiyye,جلوسيه
cümcüme,جمجمه
cümel,جمل
cümle,جمله
cümleten,جملة
cümûd,جمود
cümûdiyye,جمودیه
cünbân,جنبان
cünbiş,جنبش
cünd,جند
cündî,جندی
cünha,جنحه
cünûd,جنود
cürm,جرم
cürûf,جروف
cüsse,جثه
cüstücû,جست و جو
cüvâl,جوال
cüz',جزء
cüzâm,جذام
cüzdan,جزئدان
cüz'î,جزئى
cüz'iyyât,جزئيات
çâbük,چابك
çâbükî,چابكى
çâbükpâ,چابك پا
çâbükrev,چابك رو
çâbüksüvar,چابك سوار
çâder,چادر
çâdernişin,چادرنشين
çadır,چادر
çağz,چغز
çâh,چاه
çâk,چاک
çâkâçâk,چاكاچاک
çâker,چاكر
çâkerî,چاكری
çâkûç,چاكوچ
çâlâk,چالاک
çâlâkî,چالاكى
çâlik,چاليك
çâlpâre,چارپاره
çâme,چامه
çâne,چانه
çâpâr,چاپار
çâplûs,چاپلوس
çâr,چار
çâr,چار
çârçûbe,چارچوبه
çardak,چارطاق
çârdeh,چارده
çâre,چاره
çârecû,چاره جو
çâresâz,چاره ساز
çâresâzî,چاره سازی
çârgâh,چارگاه
çârgûşe,چارگوشه
çarh,چرخ
çarmıh,چارميخ
çârnâçâr,چارناچار
çârpâ,چارپا
çârsû,چارسو
çârsû,چارسو
çârşeb,چارشب
çârşenbe,چارشنبه
çârtâk,چارطاق
çârüm,چارم
çâryâr,چاریار
çâşni,چاشنى
çâşnigîr,چاشنى گير
çâşt,چاشت
çeğâle,چغاله
çeh,چه
çehâr,چهار
çehre,چهره
çehreperdâz,چهره پرداز
çekâçâk,چكاچاک
çekîde,چكيده
çekûç,چكوچ
çelîpâ,چليپا
çem,چم
çemen,چمن
çemenzâr,چمنزار
çenâr,چنار
çenber,چنبر
çend,چند
çendan,چندان
çendin,چندین
çeng,چنگ
çengâl,چنگال
çengî,چنگى
çep,چپ
çerâ,چرا
çerâgâh,چراگاه
çerâğ,چراغ
çerâğân,چراغان
çerâkese,چراكسه
çerb,چرب
çerbzebân,چرب زبان
çerh,چرخ
çerm,چرم
çeşm,چشم
çeşmân,چشمان
çeşmderîde,چشم دریده
çeşme,چشمه
çetr,چتر
çevgân,چوگان
çeyrek,چهاریك
çîgûne,چگونه
çigûnegî,چگونگى
çihâr,چهار
çihar yâr,چهاریار
çihârüdü,چهار و دو
çihârüse,چهار و سه
çihârüyek,چهار و یك
çihil,چهل
çihilpâ,چهل پا
çihre,چهره
çil,چل
çile,چله
çilekeş,چله كش
çimen,چمن
çîn,چين
çirâğ,چراغ
çîredest,چيره دست
çirk,چرک
çirkâb,چرک آب
çirkîn,چركين
çîz,چيز
çûb,چوب
çûbân,چوبان
çûbek,چوبك
çun,چون
çün,چن
çünki,چونكه
çüst,چست
çüstî,چستى
çüvâl,چوال
çüvaldûz,چوالدوز
dâd,داد
dâd,داد
dâdgâh,دادگاه
dâdhâh,دادخواه
dâdres,دادرس
dâdû,دادو
dâdüferyâd,دادوفریاد
dâdüsited,داد و ستد
dâfi',دافع
dâğ,داغ
dağal,دغل
dağalbâz,دغل باز
dağdağa,دغدغه
dâhî,داهى
dâhil,داخل
dâhile,داخله
dâhilen,داخلا
dâhilî,داخلى
dâhiliye,داخليه
dahl,دخل
dahme,ضخمه
dâ'î,داعى
dâim,دائم
dâimî,دائمى
dâir,دائر
dâire,دائره
dâirenmâdâr,دائرا مادار
dâirevî,دائروی
dâirezen,دائره زن
dâiye,داعيه
dakâyık,دقایق
dakîk,دقيق
dakîka,دقيقه
dalâlet,ضلالت
dâll,دال
dâlle,ضاله
dâm,دام
dâmâd,داماد
dâmân,دامان
dâmen,دامن
dâmenâlûde,دامن آلوده
dâmenbûs,دامن بوس
dâmene,دامنه
dâmengîr,دامن گير
dâmgâh,دامگاه
dân,دان
dân,دان
dânâ,دانا
dâne,دانه
dânende,داننده
dâng,دانگ
dâniş,دانش
dânişâmûz,دانش آموز
dânişgâh,دانشگاه
dânişmend,دانشمند
dânişver,دانشور
dâr,دار
dâr,دار
dâr,دار
dârâ,دارا
darabân,ضربان
darabât,ضربات
darb,ضرب
darbe,ضربه
darbhâne,ضرب خانه
darbımesel,ضرب مثل
dârçîn,دارچين
dârende,دارنده
dâr-ı bekâ,دار بقا
dâr-ı fenâ,دار فنا
darîr,ضریر
dârû,دارو
dârûhâne,داروخانه
dârülaceze,دارالعجزه
dârülbedâyi,دارالبدایع
dârülelhân,دارالالحان
dârüleytâm,دارالایتام
dârülfünun,دارالفنون
dârülhilâfe,دارالخلافه
dârülkütüb,دارالكتب
dârülmuallimât,دارالمعلمات
dârülmuallimîn,دارالمعلمين
dârülmülk,دارالملك
dârülvilâde,دارالولاده
dârüssaltana,دارالسلطنه
dârüsselam,دارالسلام
dâs,داس
dâstân,داستان
dâstânî,داستانى
dâ'ussıla,داء الصله
davâ,دعوی
dâver,داور
davet,دعوت
dâye,دایه
dâyin,داین
deâvî,دعاوی
debbağ,دباغ
debdebe,دبدبه
debir,دبير
ded,دد
def,دف
def',دفع
def'a,دفعه
defaât,دفعات
defâin,دفائن
def'aten,دفعة
defâtir,دفاتير
define,دفينه
defn,دفن
defter,دفتر
defterdâr,دفتردار
defzen,دفزن
deh,ده
dehâ,دها
dehâlet,دخالت
dehâlîz,دهاليز
dehân,دهان
dehânbeste,دهان بسته
dehen,دهن
dehliz,دهليز
dehr,دهر
dehrî,دهری
dehriyye,دهریه
dehşetâver,دهشت آور
dehşetengîz,دهشت انگيز
dekâkîn,دكاكين
delâil,دلائل
delâlet,دلالت
delîl,دليل
delk,دلق
dellâk,دلاک
dellâl,دلال
delv,دلو
dem,دم
dem,دم
demâdem,دمادم
dembedem,دمبدم
demsâz,دمساز
denâet,دنائت
dendân,دندان
dendanmüzd,دندان مزد
denî,دنى
der,در
derâhim,دراهم
derakab,درعقب
derâmed,در آمد
derâz,دراز
derbân,دربان
derbâr,دربار
derbeder,دربدر
derbend,دربند
derc,درج
derd,درد
derdâ,دردا
derdest,دردست
derdiser,درد سر
derdmend,دردمند
derecât,درجات
derece,درجه
derekât,دركات
dereke,دركه
derende,درنده
dergâh,درگاه
derhâl,درحال
derhâst,درخواست
derhâtır,در خاطر
derhor,درخور
derîçe,دریچه
derk,درک
derkenâr,دركنار
dermân,درمان
dermânde,درمانده
dermeyân,درميان
derpîş,درپيش
derrâk,دراک
derre,دره
dersaadet,در سعادت
dershân,درسخوان
deruhde,درعهده
derûn,درون
derûnî,درونى
dervâze,دروازه
dervîş,درویش
dervîşân,درویشان
deryâ,دریا
deryâdil,دریادل
deryâneverd,دریانورد
derzî,درزی
desâis,دسائس
desîse,دسيسه
desîsekâr,دسيسه كار
dessâs,دساس
dest,دست
destân,دستان
destâr,دستار
destâvîz,دستاویز
destbedest,دست بدست
destbûs,دست بوس
destbûsî,دست بوسى
deste,دسته
destere,دستره
destgâh,دستگاه
destgîr,دستگير
destî,دستى
destkâr,دستكار
destmâl,دستمال
destmüzd,دست مزد
destres,دسترس
destûr,دستور
deşne,دشنه
deşt,دشت
devâ,دواء
devâbb,دواب
devâir,دوائر
devâm,دوام
devâsâz,دواساز
devât,دوات
devâvîn,دواوین
deverân,دوران
devlet,دولت
devr,دور
devrân,دوران
devre,دوره
dey,دی
deyn,دین
deyr,دیر
dıl',ضلع
dırâz,دراز
dî,دی
dîbâ,دیبا
dîbâce,دیباجه
dicâce,دجاجه
dîdâr,دیدار
dîde,دیده
dîde,دیده
dîdegân,دیدگان
dîg,دیگ
diger,دگر
dîgergûn,دگرگون
dîgerkâm,دیگركام
dih,ده
dihât,دهات
dihhodâ,دهخدا
dihkân,دهقان
dikkat,دقت
dil,دل
dilârâ,دل آرا
dilâşûb,دل آشوب
dilâver,دلاور
dilâvîz,دلاویز
dilâzâr,دل آزار
dilâzürde,دل آزرده
dilbâz,دلباز
dilbend,دلبند
dilber,دلبر
dilbeste,دلبسته
dilcû,دلجو
dildâde,دل داده
dildâr,دلدار
dildüzd,دل دزد
dilefgâr,دل افگار
dilefrûz,دل افروز
dilfigâr,دل فگار
dilfirîb,دل فریب
dilgîr,دلگير
dilgüdâz,دل گداز
dilgüşâ,دلگشا
dilhâh,دلخواه
dilhaste,دلخواسته
dilhırâş,دل خراش
dilhûn,دلخون
dilîr,دلير
dilkeş,دلكش
dilnişîn,دلنشين
dilnüvaz,دل نواز
dilpesend,دل پسند
dilrübâ,دلربا
dilsûhte,دل سوخته
dilsûz,دلسوز
dilşâd,دلشاد
dilşikâr,دل شكار
dilşiken,دل شكن
dilşikeste,دل شكسته
dilteng,دل تنگ
dilteşne,دل تشنه
dimâğ,دماغ
dindârî,دینداری
dînen,دینا
dînî,دینى
dîr,دیر
dirahşân,درخشان
diraht,درخت
direfş,درفش
direm,درم
dirîğ,دریغ
dirîğâ,دریغا
dîrîn,دیرین
dîrîne,دیرینه
dîşeb,دیشب
dîvân,دیوان
dîvâne,دیوانه
dîvânegî,دیوانگى
dîvâr,دیوار
diyâr,دیار
dizdâr,دزدار
dost,دوست
dostâne,دوستانه
dostî,دوستى
dostkâm,دوستكام
duâgû,دعاگو
dûçâr,دچار
dûd,دود
dûd,دود
dûde,دوده
dûdmân,دودمان
dûğ,دوغ
duhân,دخان
duht,دخت
duhter,دختر
duhûl,دخول
duhûliye,دخوليه
dumûr,دمور
dûn,دون
dûnperver,دون پرور
dûr,دور
dûrbîn,دوربين
dûrdest,دوردست
dûrendîş,دوراندیش
dûrî,دوری
durûb-i emsâl,ضروب امثال
durûd,درود
dûst,دوست
dûş,دوش
dûş,دوش
dûşîze,دوشيزه
dûzah,دوزخ
dü,دو
dübâre,دوباره
dübb,دب
dübür,دبر
dücâce,دجاجه
düdil,دودل
dühûr,دهور
dühül,دهل
düm,دم
dümbâl,دنبال
dümel,دمل
dümûy,دوموی
dünbâl,دنبال
dünbek,دنبك
dünîm,دونيم
dünyâperest,دنياپرست
dünyevî,دنيوی
dürc,درج
dürd,درد
dürdâne,دردانه
dürdkeş,دردكش
dürer,درر
dürr,در
dürrâ'a,دراعه
dürre,دره
dürû,دورو
dürûğ,دروغ
dürûğzen,دروغ زن
dürûs,دروس
dürüst,درست
dürüşt,درشت
düstûr,دستور
düşenbe,دوشنبه
düşine,دوشينه
düşmen,دشمن
düşnâm,دشنام
düşvâr,دشوار
düvâzdeh,دوازده
düvel,دول
düvist,دویست
