a,آ
bamya,بامیه
bamya,بامیا
bana,بڭا
bandıra,باندیرا
bandırma,باندیرمه
Bandırma,باندیرمه
bando,باندو
bangır,بانغیر
bânî,بانی
banka,بانقه
banker,بانکر
banmak,بانمق
banknot,بانقنوط
banyo,بانیو
bar,بار
baraka,باراقا
barbar,باربار
barbunya,باربونیه
bardak,بارداق
barındırmak,باریندیرمق
barınmak,بارینمق
barış,باریش
barıştırma,باریشدیرمه
barıştırmak,باریشدیرمق
barışık,باریشیق
barışma,باریشمه
barışmak,باریشمق
bâri,باری
bârika,بارقه
bariton,باریتون
bâriz,بارز
bark,بارق
barometre,بارومتره
baroskop,باروسقوپ
Bartın,بارطین
barut,باروت
barutcu,باروتجی
barûdî,بارودی
baruthâne,باروتخانه
barutluk,باروتلق
baryûm,باریوم
bas,باص
basal,بصل
basamak,باصاماق
basan,باصان
basarî,بصری
basbayağı,باس‌بایاغی
basdı,باصدی
bastırmak,باصدیرمق
basık,باصیق
basıklık,باصیقلق
basılı,باصیلی
basılış,باصیلیش
basılma,باصیلمه
basılmak,باصیلمق
basil,باسیل
basîr,بصیر
basîret,بصیرت
basit,بسیط
baskı,باصقی
baskıcı,باصقیجی
baskın,باصقین
Baskil,باسکل
baskül,باسکول
basma,باصما
basmacı,باصماجی
basmacılık,باصماجیلق
basmak,باصمق
bast,بسط
bastırılmak,باصدیریلمق
baston,باستون
bâsur,باسور
baş,باش
başabaş,باشه‌باش
başak,باشاق
başakcı,باشاقجی
başaklanmak,باشاقلانمق
başaklı,باشاقلی
başarılmak,باشاریلمق
başarmak,باشارمق
başbuğ,باشبوغ
başcı,باشجی
başdan,باشدن
başgöz,باش‌گوز
başıboş,باشی بوش
başıkabak,باشی قاباق
başka,باشقه
başkaca,باشقه‌جه
başkası,باشقه‌سی
başkalaşmak,باشقه‌لاشمق
Başkale,باش‌قلعه
başkalık,باشقه‌لق
başkâtip,باش‌کاتب
başkonsolos,باش‌قونسولوس
başlama,باشلامه
başlamak,باشلامق
başlangıç,باشلانغیج
başlanılmak,باشلانیلمق
başlanma,باشلانمه
başlanmak,باشلانمق
başlatmak,باشلاتمق
başlayış,باشلاییش
başlı,باشلی
başlıbaşına,باشلی‌باشنه
başlıca,باشلیجه
başlık,باشلق
başmuharrir,باش‌محرر
başmüdür,باش‌مدیر
başmüfettiş,باش‌مفتش
başörtü,باش‌اورتو
başörtülü,باش‌اورتولی
başsız,باشسز
başsızlık,باشسزلق
başvekâlet,باش‌وکالت
başvekil,باش‌وکیل
batak,باتاق
batakcı,باتاقجی
batakcılık,باتاقجیلق
batakhâne,باتاقخانه
bataklı,باتاقلی
bataklık,باتاقلق
batarya,باتاریه
batı,باتی
batık,باتیق
bâtıl,باطل
batın,بطن
bâtın,باطن
bâtınen,باطناً
bâtıni,باطنی
batırılmak,باتیریلمق
batırmak,باتیرمق
batış,باتیش
batî,بطی
batkın,باتقین
batkınlık,باتقینلق
batma,باتمه
batmak,باتمق
batman,باتمان
batman,بطمان
battal,بطال
battâniye,بطانیه
batur,باتور
bavul,باوول
bayağı,بایاغی
bayağılık,بایاغییلق
bayat,بایات
bayatlamak,بایاتلامق
bayatlaşmak,بایاتلاشمق
bayatlatmak,بایاتلاتمق
Bayburt,بایبورد
Bâyezid,بایزید
baygın,بایغین
baygınlık,بایغینلق
bayılmak,باییلمق
bayıltmak,باییلتمق
Bayındır,باییندیر
bayır,بایر
bâyi,بایع
baykuş,بایقوش
bayrak,بایراق
bayraktar,بایراقدار
bayram,بایرام
Bayramiç,بایرامیچ
bayramlaşmak,بایراملاشمق
bayramlık,بایراملق
baytar,بیطر
bâzan,بعضاً
bâzı,بعضی
bazu,بازو
be,به
bebek,ببك
becâyiş,بجایش
becerik,بجیریك
becerikli,بجریکلی
beceriksiz,بجریکسز
becermek,بجرمك
becertmek,بجرتمك
bedbaht,بدبخت
bedbahtlık,بدبختلق
bedâhet,بداهت
bedâva,بادهوا
bedâva,بداوا
bedâyi,بدایع
bedbin,بدبین
bedbinlik,بدبینلك
bedduâ,بددعا
bedel,بدل
bedelci,بدلجی
bedelli,بدللی
beden,بدن
bedesten,بدستان
bedevî,بدوی
bedia,بدیعه
bedihi,بدیهی
bedihiyat,بدهیهات
bedir,بدر
begonya,به‌غونیا
beğendi,بگندی
beğendirmek,بگندیرمك
beğenilmek,بگنیلمك
beğenmek,بگنمك
behemehal,بهمه‌حال
beher,بهر
behey,بهی
behime,بهیمه
behişt,بهشت
behre,بهره
behresiz,بهره‌سز
beis,بأس
bekâ,بقا
bakâyâ,بقایا
bekâr,بکار
bekâret,بکارت
bekârlık,بکارلق
bekçi,بکجی
beklemek,بکله‌مك
beklenmek,بکله‌نمك
bekleşmek,بکله‌شمك
bekletmek,بکله‌تمك
bekrî,بکری
bektaşi,بکتاشی
bel,بل
belâ,بلا
belâgat,بلاغت
belâhet,بلاهت
belâlı,بلالی
Belçika,بلچیقا
belde,بلده
beledi,بلدی
belediye,بلدیه
beleş,بلش
belkemiği,بل کمیکی
belki,بلکه
bellâdon,به‌للادون
belleme,بله‌مه
bellemek,بله‌مك
bellenmek,بله‌نمك
bellenmiş,بله‌نمش
belletmek,بله‌تمك
belli,بللی
bellisiz,بللیسز
belî,بلی
beliğ,بلیغ
belirmek,بلیرمك
belirsiz,بلیرسز
beliyye,بلیه
belsoğukluğu,بل صوغوقلغی
bemol,به‌مول
bembeyaz,بم‌بیاض
ben,بن
ben,بڭ
benam,بنام
bend,بند
bende,بنده
bendegân,بند‌گان
bender,بندر
benek,بنك
benekli,بنکلی
beneksiz,بنکسز
benîâdem,بنی‌آدم
benim,بنم
benimki,بنیمکی
benimsemek,بنمسه‌مك
beniz,بڭز
benli,بنلی
benlik,بنلك
benzemek,بڭزه‌مك
benzer,بڭزه‌ر
benzetme,بڭزه‌تمه
benzetmek,بڭزه‌تمك
benzeyiş,بڭزه‌ییش
benzin,بنزین
berâber,برابر
berâet,برائت
berat,برات
berbat,برباد
berber,بربر
berberî,بربری
bere,برء
bereket,برکت
Bergama,برغمه
bergüzar,برگزار
berhâne,برخانه
berhavâ,برهوا
berhudâr,برخوردار
beri,بری
beriki,بریکی
berkarar,برقرار
berrak,براق
bertaraf,برطرف
berzah,برزخ
besbelli,بسبللی
besi,بسی
besili,بسیلی
besleme,بسله‌مه
beslemek,بسله‌مك
beslenmek,بسله‌نمك
besletmek,بسله‌تمك
besmele,بسمله
beste,بسته
bestekâr,بسته‌کار
bestelemek,بسته‌له‌مك
besteli,بسته‌لی
Besni,بسنی
beş,بش
beşâret,بشارت
beşâşet,بشاشت
beşbıyık,بش بییق
beşer,بشر
beşere,بشره
beşik,بشیك
beşinci,بشنجی
beşir,بشیر
Beşîri,بشیری
beşleme,بشله‌مه
beşli,بشلی
beşlik,بشلك
beşûş,بشوش
betaaet,بطائت
betaet,بطائت
beter,بتر
beton,به‌تون
betonarme,به‌تون‌آرمه
betül,بتول
bevil,بول
bevvab,بواب
bey,بك
beyâban,بیابان
beyan,بیان
beyarı,بك آری
beyarmudu,بك آرمودی
beyâti,بیاتی
beyaz,بیاض
beyazlanmak,بیاضلانمق
beyazlaşmak,بیاضلاشمق
beyazlatmak,بیاضلاتمق
beyazlık,بیاضلق
beyefendi,بك افندی
beygir,بیگیر
beyhûde,بیهوده
beyin,بین
beyinsiz,بینسز
beyit,بیت
Beykoz,بکقوز
beylik,بكلك
beylikci,بكلکجی
Beyoğlu,بك اوغلی
Beypazarı,بکپازاری
Beyşehir,بکشهر
Beytişebab,بیتی شباب
beyyine,بینه
beyza,بیضه
beyzâde,بگزاده
beyzî,بیضی
bez,بز
bez,بز
bezelye,بزلیه
bezemek,بزه‌مك
bezen,بزه‌ن
bezenmek,بزه‌نمك
bezgin,بزکین
bezik,بزبك
bezir,بزیر
bezir,بذر
bezirgan,بازر‌کان
beziryağı,بذر یاغی
bezl,بذل
bezm,بزم
bezmek,بزمك
bezzaz,بزاز
bıçak,بیچاق
bıçakçı,بیچاقجی
bıçaklamak,بیچاقلامق
bıçkı,بیچقی
bıçkıcı,بیچقیجی
bıkdırmak,بیقدیرمق
bıkılmak,بیقیلمق
bıkıntı,بیقینتی
bıkkın,بیققین
bıkkınlık,بیققینلق
bıkmak,بیقمق
bıldır,بیلدیر
bıldırcın,بیلدیر‌جین
bıngıldak,بنغیلداق
bırakdırmak,براقدیرمق
bırakılmak,براقیلمق
bırakmak,براقمق
bıyıklanmak,بییقیلانمق
bıyıklı,بییقلی
bıyıksız,بییقسز
bîaman,بی‌أمان
bîat,بیت
bîbehre,بی‌بهره
biber,بیبر
biber,ببر
bîedeb,بی‌أدب
biblo,بیبلو
bîçâre,بیچاره
biçdirmek,بیچدیرمك
biçilmek,بیچیلمك
biçilmiş,بیچیلمش
biçim,بیچیم
biçimli,بیچیملی
biçimsiz,بیچیمسز
biçki,بیچکی
biçmek,بیچمك
bîdâr,بیدار
bid'at,بدعت
bidâyet,بدایت
bidon,بیدون
biftek,بیفتك
Biga,بیغا
bîgâne,بیکانه
biğayrihakkın,بغیرحقٍ
bihakkın,بحقٍ
bîhûş,بیهوش
bikarbonat,بیقاربونات
bîkes,بیکس
bikir,بکر
bilâd,بلاد
bilâhare,بالآخره
bil'âkis,بالعکس
bilârdo,بیلاردو
bilcümle,بالجمله
bildik,بیلدك
bildirilmek,بیلدیریلمك
bildirmek,بیلدیرمك
bile,بیله
Bilecik,بیله‌جك
bileği,بیله‌گی
bileğitaşı,بیله‌گی طاشی
bilek,بیلك
bilemek,بیله‌مك
bilenmek,بیله‌نمك
bilet,بیلت
biletci,بیلتجی
biletmek,بیله‌تمك
bilezik,بیله‌زیك
bilfiil,بالفعل
bilgi,بیلگی
bilgili,بیلگیلی
bilgiç,بیلگیچ
bilgisiz,بیلگیسز
bilhassa,بالخاصه
bilinmek,بیلینمك
bilinmez,بیلینمز
biliş,بیلیش
bilişmek,بیلیشمك
bilmece,بیلمجه
bilmedik,بیلمه‌دك
bilmek,بیلمك
bilmez,بیلمز
bilezlik,بیلمزلك
bil'ûmum,بالعموم
billûr,بللور
bin,بیڭ
binâ,بنا
binâberîn,بنابرین
binâen,بناءً
binaenaleyh,بناءً علیه
binbaşı,بیڭباشی
bindirmek,بیندیرمك
binefsihî,بنفسه
binek,بینك
binekatı,بینك آتی
binektaşı,بینك طاشی
biner,بیڭر
binici,بینیجی
binicilik,بینیجیلك
bînihaye,بی‌نهایه
binilmek,بینیلمك
biniş,بینیش
binlik,بیڭلك
binmek,بینمك
bîpervâ,بی‌پروا
bir,بر
bira,بیرا
birâder,برادر
birahâne,بیراخانه
biraz,براز
birçok,برچوق
birçok,برچوق
birden,بردن
birdenbire,بردن‌بره
berdevam,بردوام
birebir,بره‌بر
Birecik,بیره‌جك
birer,برر
biri,بری
birbiri,بربری
biricik,بریجك
birikdirmek,بریکدیرمك
birikinti,بریکینتی
birikmek,بریکمك
birinci,برنجی
bininci,بیڭنجی
birisi,بریسی
birkaç,برقاج
birleşmek,برلشمك
birleştirmek,برلشدیرمك
birli,برلی
birlik,برلك
birlikte,برلکده
birtakım,برطاقم
bîset,بعثت
bisiklet,بیسیقله‌ت
bismillah,بسم‌الله
bisturi,بیستوری
bit,بیت
bîtab,بی‌تاب
bîtaraf,بیطرف
bitik,بیتیك
bitirim,بیتیریم
bitirme,بیتیرمه
bitirmek,بیتیر‌مك
bitişdirmek,بیتیشدیرمك
bitişik,بیتیشیك
bitişmek,بیتیشمك
bitkin,بیتکین
bitlenmek,بیتله‌نمك
bitmek,بیتمك
bitpazarı,بیت پازاری
Bitlis,بتلیس
bittabî,بالطبع
bityeniği,بیت ینیکی
biyoloji,بیولوژی
biz,بز
biz,بیز
bîzar,بیزار
bizimki,بزمکی
bizmut,بیزموت
blöf,بلوف
bluz,بولوز
bobin,بوبین
bocalamak,بوجالامق
bodrum,بودروم
Bodrum,بودروم
bodur,بودور
boğa,بوغا
boğaça,بوغاچه‌
boğaça,پوغاچه
boğan,بوغان
boğaz,بوغاز
Boğaziçi,بوغازایچی
boğazsız,بوغاسز
boğazkesen,بوغازکسن
boğazlamak,بوغازلامق
Boğazlayan,بوغازلایان
boğazlı,بوغازلی
boğazlıyan,بوغازلیان
boğmaca,بوغماجه
boğmak,بوغماق
boğmak,بوغمق
boğuk,بوغوق
boğulmak,بوغولمق
boğum,بوغوم
boğunuk,بوغونق
boğuşdurmak,بوغوشدورمق
boğuşmak,بوغوشمق
bohça,بوغچه
bohçacı,بوغچه‌جی
bohçalamak,بوغچه‌لامق
boks,بوقس
boksör,بوقسور
bol,بول
bolalmak,بولالمق
Boldan,بولدان
bollanmak,بوللانمق
bollaşmak,بوللاشمق
bollatmak,بوللاتمق
poliçe,بولیچه
bolluk,بوللق
bolşevik,بولشه‌ویك
bolşeviklik,بولشه‌ویکلك
Bolu,بولی
Bolvadin,بولوادین
bomba,بومبا
bombacı,بومباجی
bombardıman,بومباردمان
bonbon,بونبون
bomboş,بوم‌بوش
boncuk,بونجوق
bonjur,بونزور
bono,بونو
bonsuvar,بونسوآر
Bor,بور
bor,بور
bora,بورا
borak,بوراق
boraks,بوراقس
borasit,بوراسیت
borazan,بورازان
borc,بورج
borç,بورچ
Borçka,بورچقا
borçlanmak,بورجلانمق
borçlu,بورجلو
bordro,بوردرو
bordür,بوردور
bornuz,بورنوز
borsa,بورسه
boru,بورو
boruçiçeği,بوروچیچگی
bos,بوس
Bosfor,بوستور
Bosna,بوسنه
bostan,بوستان
bostancı,بوستانجی
boş,بوش
boşalmak,بوشالمق
boşaltmak,بوشالتمق
boşamak,بوشامق
boşanmak,بوشانمق
boşatılmak,بوشاتیلمق
boşatmak,بوشاتمق
boşboğaz,بوش‌بوغاز
boşboğazlık,بوش‌بوغازلق
boşda,بوشده
boşlamak,بوشلامق
boşluk,بوشلق
Boşnak,بوشناق
boşuna,بوشنه
boy,بوی
boya,بویا
Boyabat,بوی‌آباد
boyacı,بویاجی
boyahâne,بویاخانه
boyalamak,بویالامق
boyalanmak,بویلانمق
boyalatmak,بویالاتمق
boyalı,بویالی
boyama,بویامه
boyamak,بویامق
boyan,بویان
boyanmak,بویانمق
boyatmak,بویاتمق
boykot,بویقوت
boykotaj,بویقوتاژ
boylamak,بویلامق
boylanmak,بویلانمق
boylu,بویلو
boynuz,بوینوز
boynuzotu,بوینوز اوتی
boynuzlu,بوینوزلو
boyotu,بوی اوتو
boyun,بویون
boyuna,بویونه
boyunbağ,بویون باغی
boyunduruk,بویوندوروق
boyunluk,بویونلق
boz,بوز
boza,بوزا
bozarmak,بوزارمق
bozbakkal,بوزبقال
bozca,بوزجه
Bozdoğan,بوزدوغان
bozdurmak,بوزدورمق
bozgun,بوزغون
bozguncu,بوزغونجی
bozgunluk,بوزغونلق
Bozkır,بوزقیر
bozmak,بوزمق
bozuk,بوزوق
bozukdüzen,بوزوق دوزه‌ن
bozukluk,بوزوقلق
bozulmak,بوزولمق
bozuntu,بوزونتو
bozuşmak,بوزوشمق
Bozüyük,بوزاویوك
böbrek,بوبره‌ك
böcek,بوجك
Böcekkabuğu,بوجك قابوغی
böceklenmek,بوجکله‌نمك
böcekli,بوجکلی
böğür,بوگور
böğürmek,بوگورمك
böğürtlen,بوگورتلن
böğürtmek,بوگورتمك
böğürtü,بوگورتو
bölme,بولمه
bölmek,بولمك
bölük,بولوك
bölünmek,بولونمك
bölünmez,بولونمز
bölüntü,بولونتو
bölüş,بولوش
bölüştürmek,بولوشدورمك
bölüşmek,بولوشمك
bön,بون
börek,بورك
börek,بوره‌ك
böyle,بویله
bravo,براوو
bre,بره
brehmen,برهمن
briyantin,برییانتین
brom,بروم
bromür,برومور
bronşit,برونشیت
bronz,برونز
bu,بو
bucak,بوجاق
Bucak,بوجاق
buçuk,بوچوق
Buda,بودا
budak,بوداق
budaklanmak,بوداقلانمق
budatmak,بوداتمق
budala,بودالا
budamak,بودامق
budanmak,بودانمق
budist,بودیست
budizm,بودیزم
buğ,بوغ
buğday,بوغدای
buğu,بوغو
buğuhane,بوغوخانه
buğulamak,بوغولامق
buğulanmak,بوغولانمق
buğz,بغض
buhar,بخار
buhur,بخور
buhurdan,بخوردان
buhurlamak,بخورلامق
buhurluk,بخورلق
buhran,بحران
bukağı,بوقاغی
bukağılı,بوقاغیلی
bukalemun,بوقلمون
bukle,بوقله
bulak,بولاق
bulama,بولاما
bulamaç,بولاماج
bulamak,بولامق
bulandırmak,بولاندیرمق
bulanık,بولانیق
bulanık,بولانیق
bulanmak,بولانمق
bulantı,بولانتی
bulaştırmak,بولاشدیرمق
bulaşık,بولاشیق
bulaşmak,بولاشمق
buldok,بولدوغ
buldurmak,بولورمق
bulgar,بولغار
Bulgaristan,بولغارستان
Bulgarya,بولغاریا
bulgu,بولغو
bulgur,بولغور
bulmak,بولمق
bulundurmak,بولوندورمق
bulunmak,بولونمق
bulunmaz,بولونماز
bulunulmak,بولونولمق
buluş,بولوش
buluşdurmak,بولوشدورمق
buluşmak,بولوشمق
bulut,بولوت
bulutlanmak,بولوتلانمق
bulutlu,بولوتلو
bumbar,بومبار
bunak,بوناق
bunalmak,بونالمق
bunaltmak,بونالتمق
bunamak,بونامق
bunamış,بونامش
bunca,بونجه
buncılayın,بونجیلاین
bura,بورا
burak,براق
Burak,بوراق
buram,بورام
burası,بوراسی
burçak,بورچاق
burdurmak,بوردورمق
burgacık,بورغاجق
burgu,بورغو
burgulamak,بورغولامق
Burhâniye,برهانیه
burjuvazi,بورژوآزی
burkulmak,بورقولمق
burma,بورمه
burmak,بورمق
buruk,بوروق
burun,بورون
buruntu,بورونتو
buruşdurmak,بوروشدورمق
buruşmak,بوروشمق
buruşuk,بوروشوق
burç,برج
Burdur,بوردور
Bursa,بورسه
but,بوت
butlân,بطلان
buud,بعد
buyruk,بویوروق
buyur,بویور
buyurmak,بویورمق
buyuruk,بویوروق
buyurunuz,بویوروڭز
buz,بوز
buzağı,بوزاغی
buzböceği,بوزبوجگی
buzçiçeği,بوزچیچگی
buzdoğan,بوزضوغان
buzhâne,بوزخانه
buzkıran,بوزقیران
buzlanmak,بوزلانمق
buzlu,بوزلی
buzlucam,بوزلی جام
buzluk,بوزلق
bücür,بوجور
büdce,بودجه
büfe,بوفه
büğrü,بوگرو
bühtan,بهتان
bühtancı,بهتانجی
bükâ,بکا
büklüm,بوکلوم
bükmek,بوکمك
bükülmek,بوکولمك
bükülü,بوکولو
büküm,بوکوم
büküntü,بوکونتو
bülbül,بلبل
bülend,بلند
bülûğ,بلوغ
bünyad,بنیاد
bünyan,بنیان
Bünyan,بنیان
bünye,بنیه
bürc,برج
bürhan,برهان
bürkân,برکان
büro,بورو
bürokrasi,بوروقراسی
bürülü,بورولو
bürümcek,بورومجك
bürüme,بورومه
bürümek,بورومك
bürünmek,بورونمك
büsbütün,بوس‌بوتون
bûse,بوسه
büst,بوست
bütün,بوتون
bütünlemek,بوتونله‌مك
büyü,بویو
büyücü,بویوجی
büyük,بویوك
büyüklenmek,بویوکله‌نمك
büyüklük,بویوکلك
